EPOD Name,licensePlate,username
E-POD 001,HR55AJ0352,"user1,user2"
E-POD 002,HR55AR7641,user1
E-POD 003,HR55AJ1028,user1
E-POD 004,HR55AJ4003,user1
E-POD 005,HR55AJ1305,"admin,fran005"
E-POD 006,HR55AJ9637,user2
E-POD 007,HR55AJ2932,"admin,fran006"
E-POD 008,HR55AR5961,user2
E-POD 009,HR55AN7279,user2
E-POD 010,HR55AN8997,"admin,fran008"
E-POD 011,HR55AJ1216,"admin,fran004"
E-POD 012,HR55AN5061,"admin,fran007"
E-POD 014,HR55AR4745,user1
E-POD 015,HR55AR0763,user2
E-POD 016,HR55AR4415,user1
E-POD 017,HR55AR3188,user1
E-POD 018,HR55AR1691,user1
E-POD 019,HR55AR1692,user1
